world,drift_shift,treatment_effect,method,n_replicates,reject_rate,reject_rate_mcse,effect_bias,effect_bias_mcse,effect_rmse,control_bias,control_bias_mcse,effect_coverage95,effect_coverage95_mcse,prior_ess,prior_ess_mcse,roc_auc,roc_auc_mcse,sensitivity,specificity,fpr,ppv,fpr_mcse,oracle_spearman,roc_auc_obs
alt,0.0,0.15,two_head,2000,0.366,0.010771350890208711,-0.00446018429038022,0.0017598209525392311,0.07880822193217744,0.010340613801950524,0.0011093873977628369,0.97,0.003814446224552132,61.68964502920422,0.3824162105658671,0.49116811642659997,0.005265535645879074,0.650857985051058,0.33866453418632547,0.6613354658136745,0.7889363874178523,0.006691506780161054,0.21574165958424169,0.6824669804376983
alt,0.0,0.15,two_head_pro,2000,0.371,0.01080182854890782,-0.004475784707410743,0.0017446022261968645,0.07812978220321334,0.010356214218981046,0.0010802180982014185,0.969,0.003875499967746099,57.76082913128201,0.3362375331734674,0.5301629111776248,0.005010742454939715,0.6559637856616486,0.36185525789684125,0.6381447421031587,0.7960904561134534,0.006794463933953173,0.18891160051573358,0.7111070098853475
alt,0.0,0.15,two_head_pro_sam,2000,0.371,0.01080182854890782,-0.005419104899134627,0.001808904254619142,0.0810577804289256,0.011299534410704928,0.0011811616679171927,0.9655,0.00408103847078167,56.918108657284556,0.3504171744003841,0.5301629111776248,0.005010742454939715,0.6559637856616486,0.36185525789684125,0.6381447421031587,0.7960904561134534,0.006794463933953173,0.18891160051573358,0.7111070098853475
alt,0.0,0.15,two_head_pro_fixdisc,2000,0.3245,0.010468995892634595,-0.008536200822105445,0.0018209001695680047,0.0818590612095775,0.01441663033367575,0.001200313273278798,0.9675,0.00396508196636589,23.112391476345337,0.16973008354185629,0.5289280186350706,0.005105123472121384,0.6008527213390883,0.4330267892842863,0.5669732107157137,0.8009964213037681,0.00700594636687204,0.26342707154125194,0.7097153351010405
alt,0.0,0.15,selective_pro,2000,0.6315,0.010786745338608862,0.009689616946604064,0.001416839563477029,0.06408392887059002,-0.003809187435033761,0.00036432721171740723,0.9745,0.00352489361541593,5.853949938941448e-14,1.5443222791705325e-15,0.49070046237000103,0.005275200386995616,0.6583850931677019,0.33446621351459416,0.6655337864854058,0.7897960472311675,0.006670975366573036,0.2165909489123305,0.6596641379308256
alt,0.0,0.15,selective_pro_sam,2000,0.6315,0.010786745338608862,0.009689616946604066,0.001416839563477029,0.06408392887059003,-0.0038091874350337615,0.0003643272117174071,0.9745,0.00352489361541593,4.9873426126638903e-14,1.3290277114280686e-15,0.49070046237000103,0.005275200386995616,0.6583850931677019,0.33446621351459416,0.6655337864854058,0.7897960472311675,0.006670975366573036,0.2165909489123305,0.6596641379308256
alt,0.0,0.15,robust_map_w0.5,2000,0.278,0.010017884008112692,-0.016770052861525463,0.0019018729125485276,0.0866709795916402,0.02265048237309577,0.0013161091883690257,0.9635,0.004193313129257102,13.697511421216676,0.17373942813381804,0.5,0.0,1.0,0.0,1.0,0.7915833333333333,0.0,nan,0.5
alt,0.0,0.15,power_prior,2000,0.5525,0.011118537448783451,-0.012458065973179012,0.00148021453635132,0.06734302131602027,0.018338495484749317,0.0005911882532155104,0.951,0.004826955562256609,229.3023,0.8803118861309505,0.5,0.0,1.0,0.0,1.0,0.7915833333333333,0.0,nan,0.5
alt,0.0,0.15,uip_dirichlet,2000,0.3305,0.010518311413910506,-0.002756707177475583,0.001904033665119504,0.08517430649016909,0.008637136689045888,0.0013233509686918145,0.966,0.004052406692324946,10.739368935621167,0.07993573129591641,0.4980931772338851,0.0019861267878620217,0.9983156121697021,0.0021991203518592563,0.9978008796481408,0.7916684058938932,0.0006623302588276831,0.35683502531608996,0.5006043068322665
alt,0.0,0.15,uip_js,2000,0.3795,0.010850800661702343,0.0008848206365148958,0.0022322734161167937,0.09980926345564313,0.004995608875055409,0.0017559382317433782,0.9325,0.005609979946488223,9.089389986250156,0.053004045333915145,0.5692264528458855,0.005772710153939287,0.31061164333087693,0.7387045181927229,0.26129548180727713,0.8186736958934517,0.006211971922088161,0.11804641017041469,0.6402549999212467
